Date,Global_LSCI,LSCI_lag7,LSCI_lag14,LSCI_lag28,LSCI_rolling14,IIP_Value,IIP_lag7,IIP_lag14,IIP_lag28,IIP_rolling14
2024-04-20,0.2253990413905171,0.237490073137644,0.2495250239303794,0.1754847135600515,0.2368720396257856,0.5403268351148154,0.5437763439047849,0.5469452267180853,1.263960225597356,0.554142513749519
2024-04-21,0.2253990413905171,0.237490073137644,0.2495250239303794,0.1754847135600515,0.2368720396257856,0.5403268351148154,0.5437763439047849,0.5469452267180853,1.263960225597356,0.554142513749519
2024-04-22,0.2253990413905171,0.237490073137644,0.2495250239303794,0.1754847135600515,0.2368720396257856,0.5403268351148154,0.5437763439047849,0.5469452267180853,1.263960225597356,0.554142513749519
2024-04-23,0.2253990413905171,0.237490073137644,0.2495250239303794,0.1754847135600515,0.2368720396257856,0.5403268351148154,0.5437763439047849,0.5469452267180853,1.263960225597356,0.554142513749519
2024-04-24,0.2253990413905171,0.237490073137644,0.2495250239303794,0.1754847135600515,0.2368720396257856,0.5403268351148154,0.5437763439047849,0.5469452267180853,1.263960225597356,0.554142513749519
2024-04-25,0.2253990413905171,0.237490073137644,0.2495250239303794,0.1754847135600515,0.2368720396257856,0.5403268351148154,0.5437763439047849,0.5469452267180853,1.263960225597356,0.554142513749519
2024-04-26,0.2253990413905171,0.237490073137644,0.2495250239303794,0.1754847135600515,0.2368720396257856,0.5403268351148154,0.5437763439047849,0.5469452267180853,1.263960225597356,0.554142513749519
2024-04-27,0.2253990413905171,0.237490073137644,0.2495250239303794,0.1754847135600515,0.2368720396257856,0.5403268351148154,0.5437763439047849,0.5469452267180853,1.263960225597356,0.554142513749519
2024-04-28,0.2253990413905171,0.237490073137644,0.2495250239303794,0.1754847135600515,0.2368720396257856,0.5403268351148154,0.5437763439047849,0.5469452267180853,1.263960225597356,0.554142513749519
2024-04-29,0.2253990413905171,0.237490073137644,0.2495250239303794,0.2739988960298438,0.2368720396257856,0.5403268351148154,0.5437763439047849,0.5469452267180853,0.5533129702989318,0.554142513749519
2024-04-30,0.2253990413905171,0.237490073137644,0.2495250239303794,0.2739988960298438,0.2368720396257856,0.5403268351148154,0.5437763439047849,0.5469452267180853,0.5533129702989318,0.554142513749519
2024-05-01,0.2761538167364299,0.237490073137644,0.2495250239303794,0.2739988960298438,0.240514892268954,0.935645390481907,0.5437763439047849,0.5469452267180853,0.5533129702989318,0.5829587862870708
2024-05-02,0.2761538167364299,0.237490073137644,0.2495250239303794,0.2739988960298438,0.2441577449121267,0.935645390481907,0.5437763439047849,0.5469452267180853,0.5533129702989318,0.6117750588246225
2024-05-03,0.2761538167364299,0.237490073137644,0.2495250239303794,0.2739988960298438,0.2478005975552994,0.935645390481907,0.5437763439047849,0.5469452267180853,0.5533129702989318,0.6405913313621742
2024-05-04,0.2761538167364299,0.237490073137644,0.2495250239303794,0.2739988960298438,0.2514434501984635,0.935645390481907,0.5437763439047849,0.5469452267180853,0.5533129702989318,0.6694076038997276
2024-05-05,0.2761538167364299,0.237490073137644,0.2495250239303794,0.2739988960298438,0.2550863028416363,0.935645390481907,0.5437763439047849,0.5469452267180853,0.5533129702989318,0.6982238764372777
2024-05-06,0.2761538167364299,0.237490073137644,0.2495250239303794,0.2739988960298438,0.2587291554848134,0.935645390481907,0.5437763439047849,0.5469452267180853,0.5533129702989318,0.7270401489748294
2024-05-07,0.2761538167364299,0.237490073137644,0.2495250239303794,0.2739988960298438,0.2623720081279774,0.935645390481907,0.5437763439047849,0.5469452267180853,0.5533129702989318,0.7558564215123812
2024-05-08,0.2761538167364299,0.2884512233512905,0.2495250239303794,0.2739988960298438,0.2660148607711502,0.935645390481907,0.939507293790279,0.5469452267180853,0.5533129702989318,0.7846726940499329
2024-05-09,0.2761538167364299,0.2884512233512905,0.2495250239303794,0.2739988960298438,0.2696577134143229,0.935645390481907,0.939507293790279,0.5469452267180853,0.5533129702989318,0.8134889665874864
2024-05-10,0.2761538167364299,0.2884512233512905,0.2495250239303794,0.2739988960298438,0.273300566057487,0.935645390481907,0.939507293790279,0.5469452267180853,0.5533129702989318,0.8423052391250364
2024-05-11,0.2761538167364299,0.2884512233512905,0.2495250239303794,0.2739988960298438,0.2769434187006597,0.935645390481907,0.939507293790279,0.5469452267180853,0.5533129702989318,0.8711215116625881
2024-05-12,0.2761538167364299,0.2884512233512905,0.2495250239303794,0.2739988960298438,0.2805862713438325,0.935645390481907,0.939507293790279,0.5469452267180853,0.5533129702989318,0.8999377842001416
2024-05-13,0.2761538167364299,0.2884512233512905,0.2495250239303794,0.2739988960298438,0.2842291239870053,0.935645390481907,0.939507293790279,0.5469452267180853,0.5533129702989318,0.9287540567376916
2024-05-14,0.2761538167364299,0.2884512233512905,0.2495250239303794,0.2739988960298438,0.2878719766301736,0.935645390481907,0.939507293790279,0.5469452267180853,0.5533129702989318,0.9575703292752432
2024-05-15,0.2761538167364299,0.2884512233512905,0.3006878572032347,0.2739988960298438,0.2878719766301736,0.935645390481907,0.939507293790279,0.9430214129671858,0.5533129702989318,0.9575703292752432
2024-05-16,0.2761538167364299,0.2884512233512905,0.3006878572032347,0.2739988960298438,0.2878719766301736,0.935645390481907,0.939507293790279,0.9430214129671858,0.5533129702989318,0.9575703292752432
2024-05-17,0.2761538167364299,0.2884512233512905,0.3006878572032347,0.2739988960298438,0.2878719766301736,0.935645390481907,0.939507293790279,0.9430214129671858,0.5533129702989318,0.9575703292752432
2024-05-18,0.2761538167364299,0.2884512233512905,0.3006878572032347,0.2739988960298438,0.2878719766301736,0.935645390481907,0.939507293790279,0.9430214129671858,0.5533129702989318,0.9575703292752432
2024-05-19,0.2761538167364299,0.2884512233512905,0.3006878572032347,0.2739988960298438,0.2878719766301736,0.935645390481907,0.939507293790279,0.9430214129671858,0.5533129702989318,0.9575703292752432
2024-05-20,0.2761538167364299,0.2884512233512905,0.3006878572032347,0.2739988960298438,0.2878719766301736,0.935645390481907,0.939507293790279,0.9430214129671858,0.5533129702989318,0.9575703292752432
2024-05-21,0.2761538167364299,0.2884512233512905,0.3006878572032347,0.2739988960298438,0.2878719766301736,0.935645390481907,0.939507293790279,0.9430214129671858,0.5533129702989318,0.9575703292752432
2024-05-22,0.2761538167364299,0.2884512233512905,0.3006878572032347,0.2739988960298438,0.2878719766301736,0.935645390481907,0.939507293790279,0.9430214129671858,0.5533129702989318,0.9575703292752432
2024-05-23,0.2761538167364299,0.2884512233512905,0.3006878572032347,0.2739988960298438,0.2878719766301736,0.935645390481907,0.939507293790279,0.9430214129671858,0.5533129702989318,0.9575703292752432
2024-05-24,0.2761538167364299,0.2884512233512905,0.3006878572032347,0.2739988960298438,0.2878719766301736,0.935645390481907,0.939507293790279,0.9430214129671858,0.5533129702989318,0.9575703292752432
2024-05-25,0.2761538167364299,0.2884512233512905,0.3006878572032347,0.2739988960298438,0.2878719766301736,0.935645390481907,0.939507293790279,0.9430214129671858,0.5533129702989318,0.9575703292752432
2024-05-26,0.2761538167364299,0.2884512233512905,0.3006878572032347,0.2739988960298438,0.2878719766301736,0.935645390481907,0.939507293790279,0.9430214129671858,0.5533129702989318,0.9575703292752432
2024-05-27,0.2761538167364299,0.2884512233512905,0.3006878572032347,0.2739988960298438,0.2878719766301736,0.935645390481907,0.939507293790279,0.9430214129671858,0.5533129702989318,0.9575703292752432
2024-05-28,0.2761538167364299,0.2884512233512905,0.3006878572032347,0.2739988960298438,0.2878719766301736,0.935645390481907,0.939507293790279,0.9430214129671858,0.5533129702989318,0.9575703292752432
2024-05-29,0.2761538167364299,0.2884512233512905,0.3006878572032347,0.3255917489132566,0.2878719766301736,0.935645390481907,0.939507293790279,0.9430214129671858,0.9500910211738846,0.9575703292752432
2024-05-30,0.2761538167364299,0.2884512233512905,0.3006878572032347,0.3255917489132566,0.2878719766301736,0.935645390481907,0.939507293790279,0.9430214129671858,0.9500910211738846,0.9575703292752432
2024-05-31,0.2761538167364299,0.2884512233512905,0.3006878572032347,0.3255917489132566,0.2878719766301736,0.935645390481907,0.939507293790279,0.9430214129671858,0.9500910211738846,0.9575703292752432
2024-06-01,0.4027535276774815,0.2884512233512905,0.3006878572032347,0.3255917489132566,0.2969584928935804,0.7173351434881403,0.939507293790279,0.9430214129671858,0.9500910211738846,0.941656865336596
2024-06-02,0.4027535276774815,0.2884512233512905,0.3006878572032347,0.3255917489132566,0.3060450091569872,0.7173351434881403,0.939507293790279,0.9430214129671858,0.9500910211738846,0.9257434013979484
2024-06-03,0.4027535276774815,0.2884512233512905,0.3006878572032347,0.3255917489132566,0.3151315254203984,0.7173351434881403,0.939507293790279,0.9430214129671858,0.9500910211738846,0.9098299374592992
2024-06-04,0.4027535276774815,0.2884512233512905,0.3006878572032347,0.3255917489132566,0.3242180416838052,0.7173351434881403,0.939507293790279,0.9430214129671858,0.9500910211738846,0.8939164735206518
2024-06-05,0.4027535276774815,0.2884512233512905,0.3006878572032347,0.3255917489132566,0.333304557947212,0.7173351434881403,0.939507293790279,0.9430214129671858,0.9500910211738846,0.8780030095820026
