portName,month,year,category,dwellTime
CHENNAI,FEBRUARY,2021,Export,94.9
CHENNAI,FEBRUARY,2021,Import,60.9
COCHIN,FEBRUARY,2021,Export,87.2
COCHIN,FEBRUARY,2021,Import,42.4
EASTERN REGION AVG.,FEBRUARY,2021,Export,116.3
EASTERN REGION AVG.,FEBRUARY,2021,Import,46.5
HALDIA,FEBRUARY,2021,Export,145.7
HALDIA,FEBRUARY,2021,Import,92.7
HAZIRA,FEBRUARY,2021,Export,143.0
HAZIRA,FEBRUARY,2021,Import,35.0
JNPT,FEBRUARY,2021,Export,77.0
JNPT,FEBRUARY,2021,Import,23.0
KANDLA,FEBRUARY,2021,Import,35.0
KATTUPALLI,FEBRUARY,2021,Export,90.1
KATTUPALLI,FEBRUARY,2021,Import,73.6
KOLKATA,FEBRUARY,2021,Export,109.0
KOLKATA,FEBRUARY,2021,Import,37.3
KRISHNAPATNAM,FEBRUARY,2021,Export,82.1
KRISHNAPATNAM,FEBRUARY,2021,Import,38.5
NMPT,FEBRUARY,2021,Import,77.4
SOUTHERN REGION AVG.,FEBRUARY,2021,Export,85.1
SOUTHERN REGION AVG.,FEBRUARY,2021,Import,50.5
TUTICORIN,FEBRUARY,2021,Export,57.3
TUTICORIN,FEBRUARY,2021,Import,22.9
VIZAG,FEBRUARY,2021,Export,114.8
VIZAG,FEBRUARY,2021,Import,44.4
WESTERN REGION AVG.,FEBRUARY,2021,Export,99.0
WESTERN REGION AVG.,FEBRUARY,2021,Import,23.2
APSEZ,MARCH,2021,Export,135.4
APSEZ,MARCH,2021,Import,22.2
CHENNAI,MARCH,2021,Export,74.6
CHENNAI,MARCH,2021,Import,66.3
COCHIN,MARCH,2021,Export,84.0
COCHIN,MARCH,2021,Import,46.7
EASTERN REGION AVG.,MARCH,2021,Export,123.7
EASTERN REGION AVG.,MARCH,2021,Import,48.3
HALDIA,MARCH,2021,Export,168.0
HALDIA,MARCH,2021,Import,85.6
HAZIRA,MARCH,2021,Export,127.0
HAZIRA,MARCH,2021,Import,28.0
JNPT,MARCH,2021,Export,74.0
JNPT,MARCH,2021,Import,22.0
KANDLA,MARCH,2021,Import,57.8
KATTUPALLI,MARCH,2021,Export,97.8
